Arad,Zerind,75
Arad,Timisoara,118 
Arad,Sibiu,140
Zerind,Oradea,71 
Zerind,Arad,75
Timisoara,Arad,118 
Timisoara,Lugoj,111
Sibiu,Arad,140 
Sibiu,Oradea,151 
Sibiu,Fagaras,99 
Sibiu,RimnicuVilcea,80
Oradea,Zerind,71 
Oradea,Sibiu,151
Lugoj,Timisoara,111
Lugoj,Mehadia,70
RimnicuVilcea,Sibiu,80
RimnicuVilcea,Pitesti,97
RimnicuVilcea,Craiova,146
Mehadia,Lugoj,70
Mehadia,Dobreta,75
Craiova,Dobreta,120
Craiova,RimnicuVilcea,146
Craiova,Pitesti,138
Pitesti,RimnicuVilcea,97
Pitesti,Craiova,138
Pitesti,Bucharest,101
Fagaras,Sibiu,99
Fagaras,Bucharest,211
Dobreta,Mehadia,75 
Dobreta,Craiova,120
Bucharest,Fagaras,211
Bucharest,Pitesti,101
Bucharest,Giurgiu,90
Giurgiu,Bucharest,9